[18]: 0-1	IORB created: 18
[63]: 1-0	IORB created: 63
[165]: 0-0	IORB created: 165
[195]: 0-0	IORB created: 195
[325]: 0-3	IORB created: 325
[400]: 3-0	IORB created: 400
[563]: 0-2	IORB created: 563
[623]: 2-0	IORB created: 623
[847]: 0-4	IORB created: 847
[937]: 4-0	IORB created: 937
[997]: 0-1	IORB created: 976
[1042]: 1-0	IORB created: 1042
[1072]: 0-4	IORB created: 1059
[1162]: 4-1	IORB created: 1072
[1207]: 1-4	IORB created: 1100
[1297]: 4-0	IORB created: 1162
[1357]: 0-0	IORB created: 1207
[1387]: 0-0	IORB created: 1297
[1417]: 0-4	IORB created: 1375
[1507]: 4-0	IORB created: 1507
[2079]: 0-3	IORB created: 2079
[2154]: 3-0	IORB created: 2154
[2321]: 0-3	IORB created: 2321
[2396]: 3-1	IORB created: 2336
[2426]: 1-2	IORB created: 2395
[2486]: 2-1	IORB created: 2396
[2516]: 1-1	IORB created: 2426
[2561]: 1-1	IORB created: 2486
[3279]: 1-2	IORB created: 3279
[3339]: 2-5	IORB created: 3316
[3429]: 5-1	IORB created: 3339
[3474]: 1-1	IORB created: 3429
[3519]: 1-10	IORB created: 3433
[3699]: 10-4	IORB created: 3447
[3744]: 4-3	IORB created: 3548
[3789]: 3-3	IORB created: 3587
[3849]: 3-5	IORB created: 3699
[3939]: 5-0	IORB created: 3744
[3999]: 0-0	IORB created: 3789
[4029]: 0-0	IORB created: 3849
[4325]: 0-3	IORB created: 4325
[4400]: 3-8	IORB created: 4347
[4535]: 8-0	IORB created: 4400
[4625]: 0-2	IORB created: 4507
[4685]: 2-5	IORB created: 4535
[4775]: 5-3	IORB created: 4637
[4820]: 3-0	IORB created: 4685
[4865]: 0-0	IORB created: 4820
[4946]: 0-4	IORB created: 4946
[5036]: 4-0	IORB created: 5036
[5096]: 0-3	IORB created: 5070
[5171]: 3-2	IORB created: 5157
[5216]: 2-0	IORB created: 5171
[5261]: 0-2	IORB created: 5210
[5321]: 2-0	IORB created: 5216
[5366]: 0-0	IORB created: 5321
[5527]: 0-7	IORB created: 5527
[5662]: 7-3	IORB created: 5552
[5692]: 3-5	IORB created: 5662
[5782]: 5-0	IORB created: 5692
[6103]: 0-0	IORB created: 6103
[6133]: 0-0	IORB created: 6133
[6318]: 0-10	IORB created: 6318
[6498]: 10-5	IORB created: 6498
[6753]: 5-3	IORB created: 6753
[6798]: 3-1	IORB created: 6777
[6828]: 1-0	IORB created: 6798
[6858]: 0-0	IORB created: 6828
[6888]: 0-0	IORB created: 6858
[6918]: 0-3	IORB created: 6888
[6993]: 3-3	IORB created: 6897
[7053]: 3-4	IORB created: 6941
[7128]: 4-0	IORB created: 6993
[7188]: 0-10	IORB created: 7053
[7368]: 10-0	IORB created: 7128
[7473]: 0-0	IORB created: 7142
[7503]: 0-5	IORB created: 7368
[7608]: 5-1	IORB created: 7503
[7653]: 1-0	IORB created: 7598
[7683]: 0-0	IORB created: 7653
[7713]: 0-0	IORB created: 7683
[7787]: 0-5	IORB created: 7787
[7892]: 5-0	IORB created: 7892
[8008]: 0-0	IORB created: 8008
[8038]: 0-0	IORB created: 8038
[8098]: 0-3	IORB created: 8098
[8173]: 3-0	IORB created: 8173
[8627]: 0-2	IORB created: 8627
[8687]: 2-0	IORB created: 8687
[8925]: 0-1	IORB created: 8925
[8970]: 1-0	IORB created: 8970
[9212]: 0-1	IORB created: 9212
[9257]: 1-0	IORB created: 9230
[9287]: 0-0	IORB created: 9257
[9317]: 0-0	IORB created: 9287
[9347]: 0-0	IORB created: 9347
[9774]: 0-2	IORB created: 9774
[9834]: 2-1	IORB created: 9787
[9864]: 1-0	IORB created: 9834
[9894]: 0-5	IORB created: 9864
[9999]: 5-0	IORB created: 9999
[10059]: 0-2	IORB created: 10000
[10119]: 2-1	IORB created: 10067
[10149]: 1-0	IORB created: 10149
[10320]: 0-2	IORB created: 10320
[10380]: 2-0	IORB created: 10380
[10554]: 0-3	IORB created: 10554
[10629]: 3-0	IORB created: 10629
[11272]: 0-2	IORB created: 11272
[11332]: 2-0	IORB created: 11332
[11377]: 0-4	IORB created: 11375
[11467]: 4-0	IORB created: 11467
[11646]: 0-3	IORB created: 11646
[11721]: 3-0	IORB created: 11721
[12247]: 0-0	IORB created: 12247
[12277]: 0-0	IORB created: 12277
[12536]: 0-4	IORB created: 12536
[12626]: 4-1	IORB created: 12548
[12671]: 1-3	IORB created: 12626
[12746]: 3-11	IORB created: 12671
[12926]: 11-0	IORB created: 12746
[13031]: 0-3	IORB created: 12926
[13106]: 3-10	IORB created: 13106
[13295]: 10-1	IORB created: 13295
[13385]: 1-0	IORB created: 13385
[13583]: 0-2	IORB created: 13583
