[18]: 0-1	IORB created: 18
[63]: 1-0	IORB created: 63
[165]: 0-0	IORB created: 165
[195]: 0-0	IORB created: 195
[325]: 0-3	IORB created: 325
[400]: 3-0	IORB created: 400
[563]: 0-2	IORB created: 563
[623]: 2-0	IORB created: 623
[847]: 0-4	IORB created: 847
[937]: 4-0	IORB created: 937
[997]: 0-1	IORB created: 976
[1042]: 1-0	IORB created: 1042
[1072]: 0-1	IORB created: 1072
[1117]: 1-4	IORB created: 1059
[1207]: 4-0	IORB created: 1117
[1267]: 0-2	IORB created: 1100
[1327]: 2-0	IORB created: 1207
[1372]: 0-0	IORB created: 1327
[1744]: 0-1	IORB created: 1744
[1789]: 1-0	IORB created: 1789
[2663]: 0-3	IORB created: 2663
[2738]: 3-0	IORB created: 2738
[2783]: 0-2	IORB created: 2767
[2843]: 2-1	IORB created: 2843
[2919]: 1-4	IORB created: 2919
[3009]: 4-1	IORB created: 3009
[3577]: 1-1	IORB created: 3577
[3622]: 1-1	IORB created: 3622
[3820]: 1-1	IORB created: 3820
[3865]: 1-1	IORB created: 3865
[4844]: 1-4	IORB created: 4844
[4934]: 4-1	IORB created: 4934
[5194]: 1-3	IORB created: 5194
[5269]: 3-0	IORB created: 5269
[5427]: 0-5	IORB created: 5427
[5532]: 5-0	IORB created: 5532
[5670]: 0-4	IORB created: 5670
[5760]: 4-0	IORB created: 5760
[5826]: 0-4	IORB created: 5826
[5916]: 4-4	IORB created: 5878
[5976]: 4-0	IORB created: 5916
[6036]: 0-0	IORB created: 5976
[6066]: 0-4	IORB created: 6026
[6156]: 4-0	IORB created: 6156
[6244]: 0-7	IORB created: 6244
[6379]: 7-3	IORB created: 6269
[6409]: 3-5	IORB created: 6379
[6499]: 5-0	IORB created: 6409
[6681]: 0-2	IORB created: 6681
[6741]: 2-0	IORB created: 6741
[7123]: 0-1	IORB created: 7123
[7168]: 1-0	IORB created: 7168
[7402]: 0-5	IORB created: 7402
[7507]: 5-0	IORB created: 7507
[7837]: 0-2	IORB created: 7837
[7897]: 2-9	IORB created: 7861
[8047]: 9-0	IORB created: 7897
[8137]: 0-4	IORB created: 7994
[8227]: 4-4	IORB created: 7972
[8287]: 4-0	IORB created: 8157
[8347]: 0-1	IORB created: 8227
[8392]: 1-2	IORB created: 8135
[8452]: 2-5	IORB created: 8047
[8542]: 5-0	IORB created: 8470
[8602]: 0-0	IORB created: 8452
[8632]: 0-0	IORB created: 8392
[8662]: 0-1	IORB created: 8602
[8707]: 1-0	IORB created: 8707
[8860]: 0-3	IORB created: 8860
[8935]: 3-0	IORB created: 8935
[9373]: 0-14	IORB created: 9373
[9613]: 14-0	IORB created: 9401
[9748]: 0-3	IORB created: 9579
[9823]: 3-0	IORB created: 9767
[9868]: 0-3	IORB created: 9748
[9943]: 3-10	IORB created: 9613
[10108]: 10-0	IORB created: 10000
[10213]: 0-0	IORB created: 9943
[10243]: 0-0	IORB created: 9910
[10273]: 0-4	IORB created: 10000
[10363]: 4-4	IORB created: 9868
[10423]: 4-0	IORB created: 10273
[10483]: 0-0	IORB created: 10113
[10513]: 0-1	IORB created: 10363
[10558]: 1-14	IORB created: 10165
[10798]: 14-0	IORB created: 10483
[10933]: 0-0	IORB created: 10423
[10963]: 0-2	IORB created: 10629
[11023]: 2-9	IORB created: 10786
[11173]: 9-0	IORB created: 11023
[11263]: 0-0	IORB created: 10933
[11293]: 0-1	IORB created: 10798
[11338]: 1-2	IORB created: 10827
[11398]: 2-3	IORB created: 11153
[11458]: 3-4	IORB created: 11079
[11533]: 4-0	IORB created: 11493
[11593]: 0-0	IORB created: 11338
[11623]: 0-1	IORB created: 11427
[11668]: 1-1	IORB created: 11398
[11713]: 1-4	IORB created: 11458
[11803]: 4-4	IORB created: 11243
[11863]: 4-4	IORB created: 11173
[11923]: 4-0	IORB created: 11713
[11983]: 0-0	IORB created: 11668
[12013]: 0-2	IORB created: 11803
[12073]: 2-2	IORB created: 11533
[12118]: 2-3	IORB created: 11593
[12178]: 3-5	IORB created: 11863
[12268]: 5-0	IORB created: 12118
[12328]: 0-1	IORB created: 12178
[12373]: 1-0	IORB created: 12073
[12403]: 0-1	IORB created: 12045
[12448]: 1-1	IORB created: 11980
[12493]: 1-2	IORB created: 12140
[12553]: 2-5	IORB created: 11923
[12643]: 5-0	IORB created: 12553
[12703]: 0-0	IORB created: 12448
[12733]: 0-0	IORB created: 12373
[12763]: 0-12	IORB created: 12493
[12973]: 12-3	IORB created: 12867
[13048]: 3-4	IORB created: 12669
[13123]: 4-10	IORB created: 12962
[13273]: 10-0	IORB created: 13123
[13378]: 0-0	IORB created: 13048
[13828]: 0-5	IORB created: 13273
[13798]: 0-0	IORB created: 13468
