[987]: 0-0	IORB created: 987
[2712]: 0-0	IORB created: 2712
[4947]: 0-0	IORB created: 4947
[25834]: 0-1	IORB created: 25834
[43484]: 1-3	IORB created: 43484
[45590]: 3-1	IORB created: 45590
[51071]: 1-3	IORB created: 51071
[56303]: 3-4	IORB created: 55810
[57735]: 4-4	IORB created: 57735
[58915]: 4-5	IORB created: 58915
[59915]: 5-4	IORB created: 59025
[75567]: 4-2	IORB created: 75567
[76024]: 2-2	IORB created: 76024
[76624]: 2-6	IORB created: 76565
[78024]: 6-6	IORB created: 76778
[79024]: 6-7	IORB created: 78168
[80224]: 7-7	IORB created: 79901
[81424]: 7-6	IORB created: 76799
[82424]: 6-7	IORB created: 81820
[83624]: 7-7	IORB created: 82899
[84824]: 7-7	IORB created: 83991
[86024]: 7-7	IORB created: 84409
[87387]: 7-7	IORB created: 86358
[89366]: 7-7	IORB created: 89366
[93052]: 7-2	IORB created: 93052
[93683]: 2-8	IORB created: 93683
[95560]: 8-7	IORB created: 95560
[96560]: 7-2	IORB created: 96124
[97160]: 2-2	IORB created: 96418
[97760]: 2-7	IORB created: 97661
[103904]: 7-9	IORB created: 103904
[105726]: 9-9	IORB created: 105726
[107126]: 9-9	IORB created: 105892
[110698]: 9-6	IORB created: 110698
[113640]: 6-7	IORB created: 113640
[114947]: 7-6	IORB created: 114947
[115947]: 6-7	IORB created: 115615
[122370]: 7-9	IORB created: 122370
[124017]: 9-9	IORB created: 122657
[130137]: 9-1	IORB created: 128616
[138746]: 1-3	IORB created: 138746
[139746]: 3-3	IORB created: 138797
[140546]: 3-3	IORB created: 138908
[141432]: 3-3	IORB created: 140564
[142917]: 3-3	IORB created: 140538
[143957]: 3-3	IORB created: 143957
[144931]: 3-3	IORB created: 144931
[164444]: 3-3	IORB created: 164444
[165337]: 3-3	IORB created: 165337
[166899]: 3-3	IORB created: 166899
[167863]: 3-3	IORB created: 167863
[168948]: 3-3	IORB created: 168948
[169981]: 3-0	IORB created: 169981
[170607]: 0-3	IORB created: 170607
[171607]: 3-0	IORB created: 170312
[172207]: 0-0	IORB created: 171960
[173725]: 0-3	IORB created: 173725
[188480]: 3-5	IORB created: 188480
[210645]: 5-8	IORB created: 210645
[238397]: 8-1	IORB created: 238397
[242267]: 1-1	IORB created: 242267
